facility_id,시설유형,geometry,grid_id,시설명,주소,위도,경도,inside_gwangjin,inside_or_near_gwangjin
1,CCTV,POINT (964931.776641229 1949981.1046731207),G0075,CCTV,서울특별시 광진구 광장로3길 22 (광장동),37.5485,127.103,True,True
2,CCTV,POINT (964793.7766722635 1949309.3546583077),G0074,CCTV,서울특별시 광진구 아차산로 540 (광장동),37.54244,127.10147,True,True
3,CCTV,POINT (965536.4475852489 1950304.7549988097),G0084,CCTV,서울특별시 광진구 아차산로78길 53 (광장동),37.55144,127.10983,True,True
4,CCTV,POINT (965461.0829850007 1950024.3743074767),G0083,CCTV,서울특별시 광진구 아차산로 636 (광장동),37.54891,127.10899,True,True
5,CCTV,POINT (964982.6630856211 1949689.101457929),G0075,CCTV,서울특별시 광진구 천호대로 809 (광장동),37.54587,127.10359,True,True
6,CCTV,POINT (964970.6188506174 1949765.705110276),G0075,CCTV,서울특별시 광진구 천호대로 143길 23,37.54656,127.10345,True,True
7,CCTV,POINT (965378.5217191088 1949925.9760203601),G0083,CCTV,서울특별시 광진구 아차산로78길 176 (광장동),37.54802,127.10806,True,True
8,CCTV,POINT (964785.3372161423 1950235.7913064766),G0067,CCTV,서울특별시 광진구 광장로1다길 60 (광장동),37.55079,127.10133,True,True
9,CCTV,POINT (964828.5487018867 1950010.387249241),G0075,CCTV,서울특별시 광진구 광장로1나길 16 (광장동),37.54876,127.10183,True,True
10,CCTV,POINT (964470.102360047 1949642.4620244596),G0066,CCTV,서울특별시 광진구 광장로 1 (광장동),37.54543,127.09779,True,True
11,CCTV,POINT (964567.0710777598 1949180.5116399268),G0065,CCTV,서울특별시 광진구 아차산로70길 62,37.54127,127.09891,True,True
12,CCTV,POINT (963686.2683249479 1948974.6270589347),G0045,CCTV,서울특별시 광진구 구의로 13-6 (구의동),37.53938,127.08895,True,True
13,CCTV,POINT (963629.6114452584 1948948.2478183885),G0045,CCTV,서울특별시 광진구 아차산로57길 14 (구의동),37.53914,127.08831,True,True
14,CCTV,POINT (963691.4662659809 1949153.2278181906),G0046,CCTV,서울특별시 광진구 자양로26길 91-14 (구의동),37.54099,127.089,True,True
15,CCTV,POINT (963731.8095619215 1949490.3283232825),G0046,CCTV,서울특별시 광진구 광나루로40길 17 (구의동),37.54403,127.08944,True,True
16,CCTV,POINT (963729.5340972937 1949373.8446263277),G0046,CCTV,서울특별시 광진구 자양로30길 79 (구의동),37.54298,127.08942,True,True
17,CCTV,POINT (963819.2407460352 1949484.3996909913),G0056,CCTV,서울특별시 광진구 구의로 65 (구의동),37.54398,127.09043,True,True
18,CCTV,POINT (963747.4442061872 1949429.239592153),G0046,CCTV,서울특별시 광진구 자양로30길 87-10 (구의동),37.54348,127.08962,True,True
19,CCTV,POINT (963610.6299493016 1949455.3555201697),G0046,CCTV,서울특별시 광진구 광나루로38길 27 (구의동),37.54371,127.08807,True,True
20,CCTV,POINT (963671.5742353956 1949452.8698118522),G0046,CCTV,서울특별시 광진구 구의로11길 28 (구의동),37.54369,127.08876,True,True
21,CCTV,POINT (963536.2741028653 1949421.2882480414),G0046,CCTV,서울특별시 광진구 자양로30길 43 (구의동),37.5434,127.08723,True,True
22,CCTV,POINT (963481.0689999915 1949523.601438512),G0046,CCTV,서울특별시 광진구 자양로32길 31 (구의동),37.54432,127.0866,True,True
23,CCTV,POINT (963396.8101608265 1949447.4193365118),G0046,CCTV,서울특별시 광진구 자양로30길 14,37.54363,127.08565,True,True
24,CCTV,POINT (963623.802201357 1949235.6241090202),G0046,CCTV,서울특별시 광진구 자양로28길 73 (구의동),37.54173,127.08823,True,True
25,CCTV,POINT (963704.329812482 1949064.414588874),G0045,CCTV,서울특별시 광진구 자양로26길 95,37.54019,127.08915,True,True
26,CCTV,POINT (963565.1296838538 1948950.749303444),G0045,CCTV,서울특별시 광진구 구의로1길 12 (구의동),37.53916,127.08758,True,True
27,CCTV,POINT (963496.1771059786 1948941.066844038),G0045,CCTV,서울특별시 광진구 구의로1길 26 (구의동),37.53907,127.0868,True,True
28,CCTV,POINT (963433.3796853911 1949125.5138762167),G0046,CCTV,서울특별시 광진구 아차산로53길 77 (구의동),37.54073,127.08608,True,True
29,CCTV,POINT (963486.8192988766 1949224.0210240828),G0046,CCTV,서울특별시 광진구 자양로26길 45-7,37.54162,127.08668,True,True
30,CCTV,POINT (963411.9977241255 1949285.3707407136),G0046,CCTV,서울특별시 광진구 광나루로36길 68 (구의동),37.54217,127.08583,True,True
31,CCTV,POINT (963327.8974973324 1949245.8009249896),G0046,CCTV,서울특별시 광진구 자양로26길 14 (구의동),37.54181,127.08488,True,True
32,CCTV,POINT (963266.0686675186 1949048.589632957),G0034,CCTV,서울특별시 광진구 아차산로49길 70 (구의동),37.54003,127.08419,True,True
33,CCTV,POINT (963338.5075549702 1948847.4568247686),G0045,CCTV,서울특별시 광진구 아차산로51길 23 (구의동),37.53822,127.08502,True,True
34,CCTV,POINT (963282.0938596162 1948876.5520071066),G0034,CCTV,서울특별시 광진구 아차산로49길 32 (구의동),37.53848,127.08438,True,True
35,CCTV,POINT (963274.4763004488 1948952.029163784),G0034,CCTV,서울특별시 광진구 아차산로49길 50 (구의동),37.53916,127.08429,True,True
