grid_id,대표점_위도,대표점_경도,cell_size_m,cell_area_m2,full_cell_area_m2,area_ratio,is_boundary_cell,계산방식,CCTV개수,가로등개수,비상벨개수,경찰서개수,전체시설개수,CCTV보정개수,가로등보정개수,비상벨보정개수,경찰서보정개수,전체시설보정개수,안전점수,안전등급
G0001,37.529360695872064,127.05932863016528,500,194150.1,250000,0.7766,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0002,37.53365379044265,127.06050655911953,500,116227.36,250000,0.4649,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,3,8,2,0,13,6.45,17.21,4.3,0.0,27.96,13.98,E
G0003,37.52552294165931,127.06588600793881,500,88139.25,250000,0.3526,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0004,37.529229472404246,127.06470086527982,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0005,37.533736151262296,127.06467467253637,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,27,25,25,0,77,27.0,25.0,25.0,0.0,77.0,46.4,D
G0006,37.53715570124597,127.06465479426159,500,237034.06,250000,0.9481,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,32,31,26,0,89,33.75,32.7,27.42,0.0,93.87,53.43,D
G0007,37.54280594667338,127.06589464800085,500,138856.49,250000,0.5554,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,19,38,15,0,72,34.21,68.42,27.01,0.0,129.63,64.47,C
G0008,37.5257709415537,127.07037960932945,500,184276.04,250000,0.7371,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0009,37.52925019452318,127.07035965478828,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,3,3,3,0,9,3.0,3.0,3.0,0.0,9.0,6.0,E
G0010,37.53375687673424,127.0703338025188,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정,27,89,22,0,138,27.0,89.0,22.0,0.0,138.0,65.6,C
