grid_id,대표점_위도,대표점_경도,cell_size_m,cell_area_m2,full_cell_area_m2,area_ratio,is_boundary_cell,계산방식,CCTV개수,가로등개수,비상벨개수,경찰서개수,전체시설개수,CCTV보정개수,가로등보정개수,비상벨보정개수,경찰서보정개수,전체시설보정개수,안전점수,안전등급
G0001,37.526688985475765,127.0615375578593,500,3765.66,250000,0.015063,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0002,37.529360695872064,127.05932863016528,500,194150.1,250000,0.7766,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0003,37.53365379044265,127.06050655911953,500,116227.36,250000,0.464909,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,3,8,2,0,13,6.45,17.21,4.3,0.0,27.96,13.98,E
G0004,37.53714205364465,127.06148474188626,500,15464.23,250000,0.061857,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,2,8,2,0,12,32.33,129.33,32.33,0.0,194.0,72.63,B
G0005,37.52552294165931,127.06588600793881,500,88139.25,250000,0.352557,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0006,37.529229472404246,127.06470086527982,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0007,37.533736151262296,127.06467467253637,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,27,25,25,0,77,27.0,25.0,25.0,0.0,77.0,46.4,D
G0008,37.53715570124597,127.06465479426159,500,237034.06,250000,0.948136,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,32,31,26,0,89,33.75,32.7,27.42,0.0,93.87,53.43,D
G0009,37.54280594667338,127.06589464800085,500,138856.49,250000,0.555426,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,19,38,15,0,72,34.21,68.42,27.01,0.0,129.63,64.47,C
G0010,37.546169398664055,127.06683473889966,500,29485.99,250000,0.117944,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,3,13,3,0,19,25.44,110.22,25.44,0.0,161.09,67.81,C
G0011,37.5257709415537,127.07037960932945,500,184276.04,250000,0.737104,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0012,37.52925019452318,127.07035965478828,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,3,3,3,0,9,3.0,3.0,3.0,0.0,9.0,6.0,E
G0013,37.53375687673424,127.0703338025188,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,27,89,22,0,138,27.0,89.0,22.0,0.0,138.0,65.6,C
G0014,37.538263555482175,127.07030794449065,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,23,64,16,0,103,23.0,64.0,16.0,0.0,103.0,51.3,D
G0015,37.542770230766884,127.07028208070243,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,32,44,25,0,101,32.0,44.0,25.0,0.0,101.0,55.6,C
G0016,37.546641784898675,127.07025985725497,500,245504.96,250000,0.98202,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,32,81,29,0,142,32.59,82.48,29.53,0.0,144.6,67.56,C
G0017,37.55179618151824,127.07124393278019,500,160616.01,250000,0.642464,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,21,36,18,0,75,32.69,56.03,28.02,0.0,116.74,59.69,C
G0018,37.55610395246057,127.07246416595153,500,46861.62,250000,0.187446,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,9,16,6,0,31,48.01,85.36,32.01,0.0,165.38,79.22,B
G0019,37.56069261244544,127.07284269577526,500,5664.92,250000,0.02266,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0020,37.52507901500031,127.07604217324314,500,237443.05,250000,0.949772,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0021,37.529270645511254,127.07601845005408,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,20,11,19,0,50,20.0,11.0,19.0,0.0,50.0,36.3,E
G0022,37.53377733103142,127.07599293825996,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,25,53,20,0,98,25.0,53.0,20.0,0.0,98.0,53.4,D
G0023,37.53828401308889,127.075967420783,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,17,65,17,0,99,17.0,65.0,17.0,0.0,99.0,48.4,D
G0024,37.5427906916835,127.0759418976218,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,2,1,2,0,5,2.0,1.0,2.0,0.0,5.0,3.7,E
G0025,37.547297366815116,127.07591636877508,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,19,76,16,0,111,19.0,76.0,16.0,0.0,111.0,52.1,D
G0026,37.55180403848359,127.07589083424145,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,16,41,13,0,70,16.0,41.0,13.0,0.0,70.0,36.5,E
G0027,37.55611222902993,127.07586641895375,500,249557.63,250000,0.998231,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,37,74,33,0,144,37.07,74.13,33.06,0.0,144.26,68.19,C
G0028,37.560659509815444,127.07584064303913,500,241086.32,250000,0.964345,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,19,73,14,0,106,19.7,75.7,14.52,0.0,109.92,51.02,D
G0029,37.56535360802556,127.07668893786338,500,168578.31,250000,0.674313,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,13,81,9,0,103,19.28,120.12,13.35,0.0,152.75,56.84,C
G0030,37.56925620425909,127.07797080447077,500,48088.45,250000,0.192354,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,3,15,2,0,20,15.6,77.98,10.4,0.0,103.98,44.71,D
G0031,37.52572841188587,127.08169714425455,500,192544.64,250000,0.770179,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0032,37.52929082536761,127.08167725100141,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,25,10,21,0,56,25.0,10.0,21.0,0.0,56.0,40.5,D
G0033,37.533797514153036,127.08165207968399,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,34,74,29,0,137,34.0,74.0,29.0,0.0,137.0,66.0,C
G0034,37.53830419947613,127.08162690275954,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,30,70,28,0,128,30.0,70.0,28.0,0.0,128.0,62.0,C
G0035,37.542810881336784,127.08160172022674,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,15,17,14,1,47,15.0,17.0,14.0,1.0,47.0,37.1,E
G0036,37.54731755973481,127.08157653208426,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,2,33,1,0,36,2.0,33.0,1.0,0.0,36.0,12.3,E
G0037,37.55182423467007,127.08155133833077,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,18,0,18,0,36,18.0,0.0,18.0,0.0,36.0,30.6,E
G0038,37.55633090614245,127.08152613896499,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,32,72,30,0,134,32.0,72.0,30.0,0.0,134.0,64.0,C
G0039,37.56083757415176,127.08150093398557,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,29,79,27,0,135,29.0,79.0,27.0,0.0,135.0,64.0,C
G0040,37.5653442386979,127.08147572339118,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,37,54,34,0,125,37.0,54.0,34.0,0.0,125.0,62.1,C
G0041,37.5693942984801,127.08145306226747,500,219068.9,250000,0.876276,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,34,66,29,0,129,38.8,75.32,33.09,0.0,147.21,69.76,C
G0042,37.525442047881796,127.08577226371183,500,78852.67,250000,0.315411,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0043,37.52931073409141,127.08733605755447,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,18,27,17,0,62,18.0,27.0,17.0,0.0,62.0,37.7,E
G0044,37.53381742609822,127.08731122671504,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,24,30,18,0,72,24.0,30.0,18.0,0.0,72.0,43.8,D
G0045,37.53832411464309,127.08728639034445,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,31,42,30,0,103,31.0,42.0,30.0,0.0,103.0,54.3,D
G0046,37.54283079972588,127.08726154844133,500,250000.0,250000,1.0,False,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,35,31,28,0,94,35.0,31.0,28.0,0.0,94.0,53.8,D
