시설명,시설유형,주소,위도,경도,데이터출처
CCTV,CCTV,서울특별시 광진구 광장로3길 22 (광장동),37.5485,127.103,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로 540 (광장동),37.54244,127.10147,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로78길 53 (광장동),37.55144,127.10983,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로 636 (광장동),37.54891,127.10899,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로 809 (광장동),37.54587,127.10359,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로 143길 23,37.54656,127.10345,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로78길 176 (광장동),37.54802,127.10806,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 광장로1다길 60 (광장동),37.55079,127.10133,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 광장로1나길 16 (광장동),37.54876,127.10183,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 광장로 1 (광장동),37.54543,127.09779,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로70길 62,37.54127,127.09891,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 구의로 13-6 (구의동),37.53938,127.08895,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로57길 14 (구의동),37.53914,127.08831,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로26길 91-14 (구의동),37.54099,127.089,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 광나루로40길 17 (구의동),37.54403,127.08944,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로30길 79 (구의동),37.54298,127.08942,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 구의로 65 (구의동),37.54398,127.09043,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로30길 87-10 (구의동),37.54348,127.08962,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 광나루로38길 27 (구의동),37.54371,127.08807,기존_광진구통합본
