위도,경도,안전점수,안전등급
37.535,127.077,55,C
37.535,127.078,68,C
37.535,127.079,73,B
37.535,127.08,76,B
37.535,127.081,74,B
37.535,127.082,77,B
37.535,127.083,74,B
37.535,127.084,73,B
37.535,127.085,66,C
37.535,127.086,61,C
37.535,127.087,59,C
37.536,127.077,61,C
37.536,127.078,72,B
37.536,127.079,73,B
37.536,127.08,75,B
37.536,127.081,78,B
37.536,127.082,85,A
37.536,127.083,78,B
37.536,127.084,81,B
37.536,127.085,69,C
37.536,127.086,64,C
37.536,127.087,64,C
37.537,127.077,63,C
37.537,127.078,73,B
37.537,127.079,72,B
37.537,127.08,79,B
37.537,127.081,80,B
37.537,127.082,85,A
37.537,127.083,86,A
37.537,127.084,75,B
37.537,127.085,81,B
37.537,127.086,70,B
37.537,127.087,65,C
37.538,127.077,76,B
37.538,127.078,72,B
37.538,127.079,82,B
37.538,127.08,89,A
37.538,127.081,84,B
37.538,127.082,91,A
37.538,127.083,86,A
37.538,127.084,89,A
37.538,127.085,80,B
37.538,127.086,78,B
37.538,127.087,68,C
37.539,127.077,81,B
37.539,127.078,82,B
37.539,127.079,89,A
37.539,127.08,88,A
37.539,127.081,95,A
37.539,127.082,96,A
37.539,127.083,95,A
37.539,127.084,88,A
37.539,127.085,89,A
37.539,127.086,81,B
37.539,127.087,74,B
37.54,127.077,76,B
37.54,127.078,83,B
37.54,127.079,86,A
37.54,127.08,92,A
37.54,127.081,99,A
37.54,127.082,100,A
37.54,127.083,100,A
37.54,127.084,93,A
37.54,127.085,90,A
37.54,127.086,86,A
37.54,127.087,85,A
37.541,127.077,72,B
37.541,127.078,75,B
37.541,127.079,86,A
37.541,127.08,87,A
37.541,127.081,93,A
37.541,127.082,91,A
37.541,127.083,95,A
37.541,127.084,87,A
37.541,127.085,79,B
37.541,127.086,75,B
37.541,127.087,76,B
37.542,127.077,67,C
37.542,127.078,77,B
37.542,127.079,82,B
37.542,127.08,86,A
37.542,127.081,86,A
37.542,127.082,93,A
37.542,127.083,93,A
37.542,127.084,88,A
37.542,127.085,79,B
37.542,127.086,79,B
37.542,127.087,70,B
37.543,127.077,67,C
37.543,127.078,68,C
37.543,127.079,73,B
37.543,127.08,78,B
37.543,127.081,85,A
37.543,127.082,88,A
37.543,127.083,87,A
37.543,127.084,82,B
37.543,127.085,75,B
37.543,127.086,70,B
37.543,127.087,71,B
37.544,127.077,63,C
37.544,127.078,70,B
37.544,127.079,75,B
37.544,127.08,74,B
37.544,127.081,77,B
37.544,127.082,87,A
37.544,127.083,85,A
37.544,127.084,77,B
37.544,127.085,74,B
37.544,127.086,72,B
37.544,127.087,63,C
37.545,127.077,64,C
37.545,127.078,63,C
37.545,127.079,72,B
37.545,127.08,76,B
37.545,127.081,75,B
37.545,127.082,78,B
37.545,127.083,78,B
37.545,127.084,76,B
37.545,127.085,63,C
37.545,127.086,64,C
37.545,127.087,61,C
